experiment,eval,weather,class,mAP50,mAP50_std,mAP50_n,mAP50-95,mAP50-95_std,mAP50-95_n,precision,precision_std,precision_n,recall,recall_std,recall_n
S1_acdc,5fold,overall,bicycle,0.1387,0.0254,5,0.06,0.0138,5,0.4857,0.0797,5,0.1171,0.029,5
S1_acdc,5fold,fog,person,0.3754,0.154,5,0.1813,0.0744,5,0.693,0.1928,5,0.2846,0.1001,5
S1_acdc,5fold,fog,rider,0.3731,0.2578,5,0.2269,0.1528,5,0.7867,0.1947,5,0.3058,0.2049,5
S1_acdc,5fold,fog,car,0.7292,0.033,5,0.4628,0.0222,5,0.7947,0.1182,5,0.6535,0.0526,5
S1_acdc,5fold,fog,truck,0.4321,0.0464,5,0.2584,0.0352,5,0.7484,0.1172,5,0.3036,0.0876,5
S1_acdc,5fold,fog,bus,0.6041,0.2415,5,0.5307,0.2063,5,0.4785,0.3202,5,0.6356,0.2742,5
S1_acdc,5fold,fog,bicycle,0.34,0.0598,5,0.1682,0.0304,5,0.6082,0.1108,5,0.308,0.0486,5
S1_acdc,5fold,night,person,0.2401,0.059,5,0.1017,0.0296,5,0.6065,0.1464,5,0.2098,0.0411,5
S1_acdc,5fold,night,rider,0.1498,0.0583,5,0.0626,0.0325,5,0.4844,0.3019,5,0.1138,0.0702,5
S1_acdc,5fold,night,car,0.4904,0.0359,5,0.2948,0.0205,5,0.4952,0.0965,5,0.4898,0.0318,5
S1_acdc,5fold,night,truck,0.1118,0.1136,5,0.0637,0.0597,5,0.1331,0.1016,5,0.2003,0.1412,5
S1_acdc,5fold,night,bus,0.061,0.0403,5,0.0365,0.0297,5,0.228,0.2235,5,0.052,0.0482,5
S1_acdc,5fold,night,bicycle,0.1211,0.0657,5,0.0482,0.0236,5,0.5009,0.2599,5,0.1072,0.0638,5
S1_acdc,5fold,rain,person,0.2363,0.0338,5,0.0914,0.025,5,0.644,0.069,5,0.1733,0.0756,5
S1_acdc,5fold,rain,rider,0.2326,0.2017,5,0.0818,0.0739,5,0.4021,0.3737,5,0.215,0.2031,5
S1_acdc,5fold,rain,car,0.695,0.0289,5,0.4228,0.0152,5,0.7574,0.1531,5,0.6156,0.0715,5
S1_acdc,5fold,rain,truck,0.2906,0.2042,5,0.21,0.1348,5,0.2398,0.2398,5,0.3568,0.1906,5
S1_acdc,5fold,rain,bus,0.1945,0.1198,5,0.1089,0.0925,5,0.4082,0.2304,5,0.1464,0.1397,5
S1_acdc,5fold,rain,bicycle,0.1443,0.0594,5,0.0653,0.0252,5,0.5368,0.1796,5,0.1123,0.0578,5
S1_acdc,5fold,snow,person,0.3746,0.0837,5,0.1743,0.051,5,0.6705,0.1094,5,0.3215,0.0683,5
S1_acdc,5fold,snow,rider,0.1683,0.0895,5,0.0748,0.0616,5,0.2269,0.1619,5,0.1907,0.1085,5
S1_acdc,5fold,snow,car,0.7115,0.01,5,0.4549,0.0114,5,0.7361,0.0957,5,0.6514,0.0359,5
S1_acdc,5fold,snow,truck,0.2648,0.0786,5,0.179,0.0609,5,0.3064,0.0986,5,0.3242,0.0736,5
S1_acdc,5fold,snow,bus,0.1608,0.0943,5,0.0868,0.071,5,0.4758,0.2124,5,0.1273,0.056,5
S1_acdc,5fold,snow,bicycle,0.1182,0.0385,5,0.0579,0.0335,5,0.4737,0.1574,5,0.1027,0.0345,5
S1_acdc,official,overall,person,0.27,,1,0.1063,,1,0.6263,,1,0.2117,,1
S1_acdc,official,overall,rider,0.0713,,1,0.038,,1,0.4508,,1,0.102,,1
S1_acdc,official,overall,car,0.7013,,1,0.4431,,1,0.6993,,1,0.6643,,1
S1_acdc,official,overall,truck,0.2895,,1,0.2052,,1,0.3371,,1,0.3585,,1
S1_acdc,official,overall,bus,0.1689,,1,0.1048,,1,0.3292,,1,0.1633,,1
S1_acdc,official,overall,bicycle,0.1133,,1,0.0378,,1,0.3252,,1,0.0932,,1
S1_acdc,official,fog,person,0.4414,,1,0.204,,1,0.8622,,1,0.3226,,1
S1_acdc,official,fog,rider,0.3276,,1,0.1971,,1,0.8416,,1,0.2727,,1
S1_acdc,official,fog,car,0.8201,,1,0.5618,,1,0.8791,,1,0.7379,,1
S1_acdc,official,fog,truck,0.2879,,1,0.195,,1,0.5455,,1,0.2927,,1
S1_acdc,official,fog,bus,0.732,,1,0.6357,,1,0.6153,,1,0.6,,1
S1_acdc,official,fog,bicycle,0.3386,,1,0.1671,,1,0.5431,,1,0.2273,,1
S1_acdc,official,night,person,0.2144,,1,0.0826,,1,0.5802,,1,0.1837,,1
S1_acdc,official,night,rider,0.0926,,1,0.0455,,1,0.6427,,1,0.0769,,1
S1_acdc,official,night,car,0.5028,,1,0.2956,,1,0.3527,,1,0.5789,,1
S1_acdc,official,night,truck,0.1063,,1,0.0593,,1,0.1417,,1,0.2285,,1
S1_acdc,official,night,bicycle,0.0484,,1,0.0136,,1,0.1934,,1,0.0519,,1
S1_acdc,official,rain,person,0.2549,,1,0.0943,,1,0.4067,,1,0.306,,1
S1_acdc,official,rain,rider,0.0296,,1,0.0122,,1,0.0,,1,0.0,,1
S1_acdc,official,rain,car,0.6929,,1,0.4138,,1,0.4277,,1,0.7433,,1
S1_acdc,official,rain,truck,0.2255,,1,0.1559,,1,0.1199,,1,0.5,,1
S1_acdc,official,rain,bus,0.1967,,1,0.0916,,1,0.2824,,1,0.125,,1
S1_acdc,official,rain,bicycle,0.0654,,1,0.0208,,1,0.1868,,1,0.1676,,1
S1_acdc,official,snow,person,0.2846,,1,0.1116,,1,0.807,,1,0.1912,,1
S1_acdc,official,snow,rider,0.0155,,1,0.0015,,1,0.0,,1,0.0,,1
S1_acdc,official,snow,car,0.6991,,1,0.4385,,1,0.8334,,1,0.595,,1
S1_acdc,official,snow,truck,0.441,,1,0.3297,,1,0.5332,,1,0.439,,1
S1_acdc,official,snow,bus,0.0466,,1,0.0065,,1,0.2537,,1,0.0634,,1
S1_acdc,official,snow,bicycle,0.2153,,1,0.0678,,1,0.4353,,1,0.1034,,1
S1_in_domain,single,overall,person,0.453,,1,0.2102,,1,0.6458,,1,0.4024,,1
S1_in_domain,single,overall,rider,0.4196,,1,0.1922,,1,0.8134,,1,0.356,,1
S1_in_domain,single,overall,car,0.7364,,1,0.459,,1,0.7667,,1,0.6895,,1
S1_in_domain,single,overall,truck,0.5028,,1,0.3462,,1,0.6033,,1,0.4885,,1
S1_in_domain,single,overall,bus,0.502,,1,0.3667,,1,0.6593,,1,0.4369,,1
S1_in_domain,single,overall,bicycle,0.3327,,1,0.1456,,1,0.5763,,1,0.2988,,1
S2_acdc,5fold,overall,person,0.3104,0.0295,5,0.1373,0.0192,5,0.5503,0.0767,5,0.2851,0.0209,5
S2_acdc,5fold,overall,rider,0.1988,0.0639,5,0.0914,0.0269,5,0.4364,0.0939,5,0.188,0.0443,5
