epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,5398.61,1.21698,0.70799,0.94037,0.6317,0.43167,0.4774,0.27996,1.20246,0.68819,0.93522,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819
45,5521.17,1.21705,0.7073,0.9393,0.62739,0.42682,0.47877,0.28039,1.20136,0.68535,0.9336,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
46,5643.8,1.21155,0.70171,0.93754,0.65263,0.4371,0.4859,0.28266,1.19971,0.68573,0.93515,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843
47,5766.18,1.2081,0.69958,0.93664,0.628,0.4366,0.48343,0.28365,1.19855,0.68432,0.93205,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
48,5888.58,1.20995,0.69834,0.93844,0.63857,0.43614,0.48333,0.28519,1.19612,0.68196,0.93215,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637
49,6010.92,1.20183,0.69271,0.93385,0.63543,0.43354,0.48355,0.28401,1.19427,0.67814,0.93237,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
50,6133.24,1.20513,0.69167,0.93538,0.64769,0.43244,0.48548,0.28586,1.19429,0.67853,0.93177,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672
51,6255.55,1.19708,0.68651,0.93223,0.64159,0.43293,0.48525,0.28433,1.19591,0.68031,0.93147,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
52,6377.94,1.19843,0.68501,0.93192,0.64204,0.43279,0.48797,0.28676,1.19371,0.67616,0.93103,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763
53,6500.18,1.20062,0.6845,0.93145,0.62573,0.44485,0.48876,0.28733,1.19129,0.67502,0.93159,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
