epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1337.45,1.15217,0.71698,0.89646,0.56122,0.35956,0.37756,0.21527,1.34519,0.88874,0.98457,7.31145e-05,7.31145e-05,7.31145e-05
69,1356.88,1.17359,0.72753,0.89301,0.56882,0.357,0.38107,0.21322,1.34514,0.88068,0.98262,6.39518e-05,6.39518e-05,6.39518e-05
70,1376.14,1.18152,0.73507,0.89491,0.59185,0.35195,0.38523,0.21541,1.34596,0.87485,0.98647,5.54691e-05,5.54691e-05,5.54691e-05
71,1399,1.18686,0.73236,0.90411,0.55256,0.36292,0.37659,0.21085,1.36031,0.89923,0.99195,4.76796e-05,4.76796e-05,4.76796e-05
72,1418.16,1.15089,0.69722,0.89607,0.5067,0.36498,0.37707,0.21111,1.36435,0.90057,0.99245,4.05953e-05,4.05953e-05,4.05953e-05
73,1436.96,1.16256,0.71388,0.89588,0.56699,0.35195,0.37459,0.20855,1.36156,0.90366,0.98975,3.4227e-05,3.4227e-05,3.4227e-05
74,1455.9,1.14958,0.69555,0.89685,0.50221,0.37362,0.37576,0.20838,1.35958,0.89479,0.98937,2.85847e-05,2.85847e-05,2.85847e-05
75,1474.77,1.14595,0.69664,0.89473,0.50754,0.37127,0.37629,0.21187,1.36022,0.89252,0.98998,2.36769e-05,2.36769e-05,2.36769e-05
76,1493.85,1.12543,0.68812,0.88976,0.48664,0.37072,0.38083,0.2125,1.35929,0.88993,0.98896,1.95113e-05,1.95113e-05,1.95113e-05
77,1512.73,1.13189,0.68486,0.89433,0.51706,0.3629,0.37803,0.21058,1.36058,0.89167,0.98882,1.60943e-05,1.60943e-05,1.60943e-05
78,1531.67,1.12832,0.68207,0.8915,0.54632,0.35872,0.38319,0.21276,1.35923,0.89059,0.98861,1.34311e-05,1.34311e-05,1.34311e-05
79,1550.72,1.12307,0.68051,0.88842,0.53205,0.36161,0.38327,0.21465,1.36,0.88712,0.9893,1.15259e-05,1.15259e-05,1.15259e-05
80,1569.67,1.12742,0.68313,0.8898,0.53332,0.37404,0.38364,0.21424,1.35834,0.88445,0.99023,1.03816e-05,1.03816e-05,1.03816e-05
